kommuneNAVN,kommuneID,fylkeID,hyppighet
Odda,1228,12,0
Oppdal,1634,16,0
Oppegaard,0217,02,54
Orkdal,1638,16,0
Os,0441,04,0
Os,1243,12,0
Osen,1633,16,0
Oslo,0301,03,140776
Osteroey,1253,12,2
Overhalla,1744,17,0
Porsanger,2020,20,0
Porsgrunn,0805,08,0
Radoey,1260,12,0
Rakkestad,0128,01,0
Rana,1833,18,0
Randaberg,1127,11,0
Rauma,1539,15,98
Re,0716,07,0
Rendalen,0432,04,0
Rennebu,1635,16,0
Rennesoey,1142,11,0
Rindal,1567,15,0
Ringebu,0520,05,9
Ringerike,0605,06,0
Ringsaker,0412,04,8
Rissa,1624,16,0
Risoer,0901,09,0
Roan,1632,16,0
Rollag,0632,06,0
Rygge,0136,01,0
Raelingen,0228,02,0
Roedoey,1836,18,0
Roemskog,0121,01,0
Roeros,1640,16,0
Roest,1856,18,0
Roeyken,0627,06,0
Roeyrvik,1739,17,0
Raade,0135,01,0
Salangen,1923,19,0
Saltdal,1840,18,0
Samnanger,1242,12,0
Sande,0713,07,0
Sande,1514,15,0
Sandefjord,0706,07,0
Sandnes,1102,11,0
Sandoey,1546,15,0
Sarpsborg,0105,01,0
Sauda,1135,11,0
Sauherad,0822,08,0
Sel,0517,05,18
Selbu,1664,16,0
Selje,1441,14,0
Seljord,0828,08,0
Sigdal,0621,06,0
Siljan,0811,08,0
Sirdal,1046,10,0
Skaun,1657,16,0
Skedsmo,0231,02,132
Ski,0213,02,0
Skien,0806,08,0
Skiptvet,0127,01,0
Skjervoey,1941,19,0
Skjaak,0513,05,6
Skodje,1529,15,373
Skaanland,1913,19,119
Smoela,1573,15,0
Snillfjord,1613,16,0
Snaasa,1736,17,0
Sogndal,1420,14,0
Sokndal,1111,11,0
Sola,1124,11,0
Solund,1412,14,0
Songdalen,1017,10,0
Sortland,1870,18,197
Spydeberg,0123,01,0
Stange,0417,04,39
Stavanger,1103,11,0
Steigen,1848,18,0
Steinkjer,1702,17,0
Stjoerdal,1714,17,0
Stokke,0720,07,0
Stor-Elvdal,0430,04,0
Stord,1221,12,0
Stordal,1526,15,10
Storfjord,1939,19,0
Strand,1130,11,0
Stranda,1525,15,1314
Stryn,1449,14,0
Sula,1531,15,20
Suldal,1134,11,0
Sund,1245,12,0
Sunndal,1563,15,0
Surnadal,1566,15,0
Sveio,1216,12,0
Svelvik,0711,07,0
Sykkylven,1528,15,1461
Soegne,1018,10,0
Soemna,1812,18,0
Soendre Land,0536,05,0
Soer-Aurdal,0540,05,0
Soer-Fron,0519,05,0
Soer-Odal,0419,04,0
Soer-Varanger,2030,20,0
Soerfold,1845,18,7
Soerreisa,1925,19,0
Soerum,0226,02,41
Tana,2025,20,0
Time,1121,11,0
Tingvoll,1560,15,0
Tinn,0826,08,0
Tjeldsund,1852,18,210
Tjoeme,0723,07,0
Tokke,0833,08,0
Tolga,0436,04,0
Torsken,1928,19,0
Tranoey,1927,19,0
Tromsoe,1902,19,587
Trondheim,1601,16,0
Trysil,0428,04,0
Traena,1835,18,0
Troegstad,0122,01,0
Tvedestrand,0914,09,0
Tydal,1665,16,0
Tynset,0437,04,0
Tysfjord,1850,18,0
Tysnes,1223,12,0
Tysvaer,1146,11,0
Toensberg,0704,07,0
Ullensaker,0235,02,4526
Ullensvang,1231,12,0
Ulstein,1516,15,1
Ulvik,1233,12,0
Utsira,1151,11,0
Vadsoe,2003,20,0
Vaksdal,1251,12,0
Valle,0940,09,0
Vang,0545,05,0
Vanylven,1511,15,0
Vardoe,2002,20,0
Vefsn,1824,18,0
Vega,1815,18,0
Vegaarshei,0912,09,0
Vennesla,1014,10,0
Verdal,1721,17,0
Verran,1724,17,0
Vestby,0211,02,0
Vestnes,1535,15,612
Vestre Slidre,0543,05,0
Vestre Toten,0529,05,5858
Vestvaagoey,1860,18,0
Vevelstad,1816,18,0
Vik,1417,14,0
Vikna,1750,17,0
Vindafjord,1160,11,0
Vinje,0834,08,0
Volda,1519,15,1150
Voss,1235,12,0
Vaeroey,1857,18,0
Vaagan,1865,18,4
Vaagsoey,1439,14,0
Vaagaa,0515,05,0
Vaaler,0137,01,0
Vaaler,0426,04,0
Oeksnes,1868,18,104
Oerland,1621,16,0
Oerskog,1523,15,846
Oersta,1520,15,338
Oestre Toten,0528,05,3
Oevre Eiker,0624,06,0
Oeyer,0521,05,16
Oeygarden,1259,12,0
Oeystre Slidre,0544,05,0
Aafjord,1630,16,0
Aal,0619,06,1
Aalesund,1504,15,202505
Aamli,0929,09,0
Aamot,0429,04,0
Aardal,1424,14,0
Aas,0214,02,145
Aaseral,1026,10,0
Aasnes,0425,04,0
