Lon,Lat,Name,Mode,Id
10.73099,59.91639,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73075,59.91666,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73058,59.91686,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73028,59.91732,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72992,59.91786,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72694,59.92235,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72669,59.92274,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72647,59.92303,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72626,59.92326,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72601,59.92348,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72573,59.92371,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72534,59.92395,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72481,59.92429,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7247,59.92435,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7204,59.927,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71976,59.9274,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71951,59.92755,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71937,59.92763,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71896,59.92783,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71859,59.92801,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71818,59.92821,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71789,59.92836,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71754,59.92853,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71724,59.92868,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71695,59.92884,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71645,59.92914,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71599,59.92941,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71563,59.92962,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71543,59.92975,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71519,59.92991,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71483,59.93013,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71461,59.93026,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71455,59.93029,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71453,59.93031,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71432,59.93045,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71417,59.93057,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71394,59.93074,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71381,59.93083,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71346,59.93105,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71311,59.93127,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71304,59.93131,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7125,59.93165,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
